County,Population,incidenceRate,medIncome,povertyPercent,MedianAge,MedianAgeMale,MedianAgeFemale,AvgHouseholdSize,PctMarriedHouseholds,PctNoHS18_24,PctHS18_24,PctBachDeg18_24,PctHS25_Over,PctBachDeg25_Over,PctUnemployed16_Over,PctPrivateCoverage,PctEmpPrivCoverage,PctPublicCoverage,PctPublicCoverageAlone,PctWhite,PctBlack,PctAsian,PctOtherRace,deathRate
"Iosco County, Michigan",25345,406.2,37122,19,624,51.6,52.5,2.2,48.10896588,25.2,32.4,2.2,40,10,12.1,61.4,29.4,53.2,23.4,96.14582103,0.625959608,0.51966458,0.141726704,193.4
"Mineral County, Montana",4251,538.8,36449,17.3,619.2,52.3,50.7,2.67,46.76903391,17,59.8,13,41.8,9.8,11.8,48.3,20.2,53.8,27.1,98.44266163,0.070788108,0.165172251,0.141576215,188.8
"Lake County, Oregon",7829,397.2,40328,19.3,579.6,48.2,48.5,2.08,47.56097561,7.7,54,4.5,33.4,12.1,10.6,54.7,29.9,48.3,25.6,90.28309105,0.612088753,0.816118337,2.384595766,139.2
"Pittsylvania County, Virginia",62194,399,44207,14.6,546,44.2,46.7,2.36,51.5913601,14.7,40.7,6.3,35.3,9.4,7.7,66.2,42.6,36.2,18.6,74.84473039,21.41765137,0.3423894,1.57658375,176.8
"Hall County, Texas",3138,415.8,33324,24.5,536.4,42.8,45.2,2.71,51.51515152,27.4,41.8,0,27.9,8.9,11.5,42.6,20.4,42.7,26.9,81.67343116,7.461754605,0.312207306,6.244146113,223.2
"Lane County, Kansas",1670,371.5,53739,10.9,535.2,44.7,44.4,2.07,47.82608696,25.2,31.1,3,29.7,15.5,2.4,78.2,48.6,29.2,11.2,98.32735962,0.358422939,0,0,148.6
"Northumberland County, Pennsylvania",93246,471.7,40429,15.9,525.6,41.6,46.2,2.27,47.97968254,22,40.2,7.9,50.3,9.4,7.2,71.8,46.5,37,16,95.23966555,2.855136906,0.346786375,0.371252899,177.5
"Knox County, Missouri",3910,431.6,37581,19.4,523.2,42.4,45.4,2.34,54.64772054,26.9,27.6,13.1,41.9,11,7.4,56,28.4,37.4,18.6,96.6047088,0.570012392,0,0.470879802,217.7
"Washington County, Rhode Island",126517,492.3,70705,10.4,519.6,42,44.5,2.42,52.94568639,6.2,28.5,12.9,23.3,25.8,6.4,81.7,57.3,27.3,11.2,93.41481745,1.467505241,1.791068391,0.798227918,162.2
"Blount County, Tennessee",127253,494.2,47175,14.7,511.2,41,43.9,2.51,55.66863133,15.4,40.6,5.7,34.9,15,7.8,68.7,45.4,35.1,17.5,94.15519059,2.902035339,0.754065885,0.270792728,172.5
"Iowa County, Iowa",16401,463.3,58234,7.5,508.8,41.6,43.2,2.34,59.62751137,15.9,47.8,4.3,38.4,13.2,1.8,81,53.7,31.1,11.9,97.95643661,0.838228096,0.189672051,0.140724425,163.4
"Person County, North Carolina",39259,477.8,45841,18.7,508.8,41.5,43.4,2.52,45.40726776,22.2,28,5.1,35.5,11.3,11.9,60,37.9,39.3,22.3,68.76623707,27.37761703,0.430441648,1.533289185,198.1
"Greene County, Pennsylvania",37519,501.4,49897,16.5,502.8,40.7,43.5,2.33,50.06252605,10.7,42.9,8.1,47.3,11.6,6.4,71.4,49.9,36.2,17,92.21624756,5.071432337,0.218778006,0.548262955,193.5
"Nicholas County, Kentucky",7131,552.9,37061,19.4,501.6,39.9,43.3,2.47,53.15155807,21.9,41.9,0,40.7,6,7.7,55.3,34.8,42.4,25.4,96.91872792,1.469964664,0,0.098939929,267.6
"Marion County, Georgia",8761,373.2,36055,25.9,500.4,41.4,42.1,2.83,43.53518822,29.4,41.2,6.8,37.5,7,14.3,56.5,30.2,36.4,17.3,58.77102643,31.53678911,0.125872525,5.675706603,159.3
"Cass County, Nebraska",25512,478,66522,6.9,498,40.4,42.4,2.57,61.33661337,14.2,36,5.1,32.1,16.9,3.8,83,55.4,24.4,9.3,96.81388013,0.954258675,0.563880126,0.339116719,193.1
"Ogle County, Illinois",51659,433.2,57126,11.4,498,40.1,43.1,2.5,53.98678308,12.3,31.5,8.1,33.7,12.9,8,75,52.6,31.3,15.5,95.083688,1.131744184,0.345439624,1.633681318,168
"Brooks County, Georgia",15658,469,32903,28.8,496.8,38.9,44.8,2.37,43.59130303,28.4,35.9,1,38,9,17,48.4,28.2,42.8,25.6,59.15456929,35.16019697,0.511607086,3.696361195,159.3
"Lycoming County, Pennsylvania",116048,521.8,45211,16,496.8,39.2,43.1,2.42,49.22668061,11.9,35.3,8.1,41.1,13,7.7,71.9,49.8,34.4,17.2,91.8443972,4.834727747,0.667775339,0.648916472,178.5
